metric,roi,interaction_p,rM,pM,nM,rF,pF,nF
FA,IOG_L,0.40877778204336135,0.3025632434704328,0.015942993604399366,67,0.11227154647004597,0.10388660857791322,218
FA,IOG_R,0.6308405430285252,0.2511279199688147,0.04711213748121315,67,0.24776135298226679,0.0002786360792318139,218
FA,MOG_L,0.2819186393359511,0.33044600576277317,0.008167541234109274,67,0.1479446447026218,0.03170669694625869,218
FA,MOG_R,0.5560998540881413,0.3050582264279814,0.015053355922513967,67,0.17818302403277175,0.009495712786543625,218
FA,SOG_L,0.13605688004116984,0.24426334866803767,0.05369478572753171,67,0.14357066914479782,0.03716889431312153,218
FA,SOG_R,0.5877761020043337,0.20463977355991314,0.10765387263913988,67,0.12198363022049788,0.07706139316073511,218
MD,IOG_L,0.07515796848899597,-0.3226233845155901,0.009913765174139819,67,-0.15069075842303847,0.0286391320451309,218
MD,IOG_R,0.1258246894759559,-0.20422531278010236,0.10838394158650022,67,-0.10174406310742297,0.14076086529256965,218
MD,MOG_L,0.036444252511940785,-0.28347729099125424,0.02436178581943122,67,-0.12170224972167755,0.07775080522175605,218
MD,MOG_R,0.0506431340858532,-0.2651282995597357,0.03572960505568571,67,-0.0801822305655463,0.2461858396255889,218
MD,SOG_L,0.07299436650184714,-0.2693123199167244,0.032809888281870224,67,-0.12148064068506394,0.07829727406722388,218
MD,SOG_R,0.25442851225591256,-0.23502667610899744,0.06371402642230904,67,-0.054533669702753355,0.43068017108385925,218
RD,IOG_L,0.08878181897448402,-0.3380479187846858,0.006734089567638811,67,-0.16158883539543012,0.018276690238157752,220
RD,IOG_R,0.24001701768393774,-0.21853914605840394,0.08529941002859705,67,-0.1475936380333036,0.03130382701174442,220
RD,MOG_L,0.04213129590460695,-0.2943310067666462,0.019205145002418,67,-0.1320349635432218,0.05434459727293229,220
RD,MOG_R,0.06416246620584437,-0.27684534495351054,0.028055038508954282,67,-0.10254354636876349,0.1357772099223854,220
RD,SOG_L,0.06672821563049994,-0.2670554046209106,0.03435904188942623,67,-0.13215939669862803,0.05411573171518595,220
RD,SOG_R,0.28240574626637377,-0.22594589147808677,0.07498082455369749,67,-0.06348478148418481,0.35652429341276204,220
FSUM,IOG_L,0.2636818559939149,0.3422739095324095,0.006036748881920458,67,0.11233683632852301,0.10204190400999764,220
FSUM,IOG_R,0.9325423562206244,0.25579998301432605,0.04302231880154243,67,0.2288890365471942,0.0007636046970575224,220
FSUM,MOG_L,0.19389586361964234,0.3594964878211578,0.003807415187250913,67,0.14703285368576208,0.031959430493245344,220
FSUM,MOG_R,0.42094691802401574,0.33068633815464804,0.008118440295935088,67,0.17126103370727497,0.012304576481899188,220
FSUM,SOG_L,0.08058631966558652,0.28855600564307243,0.021819208218299434,67,0.1294343427888715,0.059314261945166875,220
FSUM,SOG_R,0.42840618924954665,0.27688926022008126,0.02802911631445161,67,0.13351929018122152,0.05166618691922673,220
